"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"15581","Bihar","Construction of common work sheds/ common covered sitting area","WS/MP18300/2025-2026/134643","JAMUI(DISTRICT PLANNING OFFICER JAMUI_IDA)","Dr. Bhim Singh (2024-30) (2024-2030)","Elected MP","12-Feb-2026","ASSISTANT ENGINEER AC SIKANDRA LAEO JAMUI","Payment Success","522430"
"15582","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP182/2023-2024/85322","Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","15-May-2025","MS R P Traders","Payment Success","429891"
"15583","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP182/2023-2024/85322","Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","07-Sep-2024","MS R P Traders","Payment Success","1301540"
"15584","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP182/2025-2026/244467","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","09-Jul-2026","MS R P Traders","Payment Success","118139"
"15585","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP182/2025-2026/244464","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","13-May-2026","MS R P Traders","Payment Success","258341"
"15586","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP182/2025-2026/244468","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","10-Jul-2026","MS R P Traders","Payment Success","3630194"
"15587","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP182/2025-2026/244467","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","15-May-2026","MS R P Traders","Payment Success","1599584"
"15588","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP182/2024-2025/139565","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","28-Jan-2025","MS R P Traders","Payment Success","1945731"
"15589","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP182/2023-2024/15723","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","14-May-2024","MS R P Traders","Payment Success","290618"
"15590","Uttar Pradesh","Construction of toilet blocks","WS/MP182/2024-2025/139566","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","26-Mar-2025","MS R P Traders","Payment Success","317975"
"15591","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP182/2023-2024/15724","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","21-Apr-2025","MS R P Traders","Payment Success","164260"
"15592","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP182/2024-2025/139567","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","19-Sep-2024","MS R P Traders","Payment Success","457962"
"15593","Uttar Pradesh","Construction of boundary walls of existing public and community buildings","WS/MP182/2023-2024/15724","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","21-Oct-2024","MS R P Traders","Payment Success","565732"
"15594","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP182/2023-2024/15723","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","11-Nov-2024","MS R P Traders","Payment Success","155475"
"15595","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP182/2025-2026/244468","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","14-Aug-2026","MS R P Traders","Payment Success","1714134"
"15596","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP182/2023-2024/15725","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","06-Aug-2024","MS R P Traders","Payment Success","599812"
"15597","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP182/2025-2026/190035","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","12-Nov-2025","MS R P Traders","Payment Success","981236"
"15598","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP182/2023-2024/15725","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","17-Feb-2025","MS R P Traders","Payment Success","2852715"
"15599","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP182/2023-2024/15725","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","26-Dec-2024","MS R P Traders","Payment Success","1839847"
"15600","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP182/2023-2024/15725","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","06-Jun-2025","MS R P Traders","Payment Success","4611433"
"15601","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP182/2025-2026/190036","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","20-Sep-2025","MS R P Traders","Payment Success","1643602"
"15602","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP182/2025-2026/190035","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","20-Sep-2025","MS R P Traders","Payment Success","1923588"
"15603","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP182/2025-2026/190036","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","12-Nov-2025","MS R P Traders","Payment Success","992919"
"15604","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP182/2023-2024/15725","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","12-Nov-2025","MS R P Traders","Payment Success","2003378"
"15605","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP182/2025-2026/244464","GORAKHPUR(DISTRICT MAGISTRATE GORAKHPUR_IDA)","Dr. Radha Mohan Das Agrawal (2022-28) (2022-2028)","Elected MP","28-Mar-2026","MS R P Traders","Payment Success","1534038"
"15606","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP112/2025-2026/145302","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","24-Jun-2025","SOHAN PRAKASH KAMBLE","Payment Success","999999"
"15607","Sikkim","Providing drains and gutters for public drainage","WS/MP18282/2024-2025/150016","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","25-Mar-2025","RAJU ENTERPRISES","Payment Success","900101"
"15608","Sikkim","Providing drains and gutters for public drainage","WS/MP18282/2024-2025/136760","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","14-Nov-2024","RAJU ENTERPRISES","Payment Success","504029"
"15609","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137742","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","14-Nov-2024","RAJU ENTERPRISES","Payment Success","342906"
"15610","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137740","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","14-Nov-2024","RAJU ENTERPRISES","Payment Success","255756"
"15611","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137746","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","413684"
"15612","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136762","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","179405"
"15613","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137363","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","337634"
"15614","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137741","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","179110"
"15615","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137350","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","346281"
"15616","Sikkim","Providing drains and gutters for public drainage","WS/MP18282/2024-2025/137629","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","833975"
"15617","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137749","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","346281"
"15618","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137627","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","329647"
"15619","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136643","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","419783"
"15620","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137614","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","463655"
"15621","Sikkim","Providing drains and gutters for public drainage","WS/MP18282/2024-2025/136885","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","181629"
"15622","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137750","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","329647"
"15623","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136884","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","179405"
"15624","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137738","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","164896"
"15625","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/141776","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","164849"
"15626","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136761","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","412373"
"15627","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137623","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","329765"
"15628","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136634","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","204511"
"15629","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137366","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","550416"
"15630","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137752","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","179110"
"15631","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137364","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","14-Nov-2024","RAJU ENTERPRISES","Payment Success","431416"
"15632","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137751","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","14-Nov-2024","RAJU ENTERPRISES","Payment Success","517394"
"15633","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137743","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","14-Nov-2024","RAJU ENTERPRISES","Payment Success","357205"
"15634","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137613","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","14-Nov-2024","RAJU ENTERPRISES","Payment Success","163608"
"15635","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137365","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","164849"
"15636","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137747","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","416975"
"15637","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/136763","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","277538"
"15638","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137756","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","164683"
"15639","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/137748","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","274664"
"15640","Sikkim","Providing drains and gutters for public drainage","WS/MP18282/2024-2025/136883","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","471606"
"15641","Sikkim","Providing drains and gutters for public drainage","WS/MP18282/2024-2025/136759","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","471606"
"15642","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/141778","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","15-Nov-2024","RAJU ENTERPRISES","Payment Success","158326"
"15643","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2024-2025/144729","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","19-Nov-2024","RAJU ENTERPRISES","Payment Success","178815"
"15644","Sikkim","Setting up of farmers’ training and assistance centers","WS/MP18282/2025-2026/206326","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","14-Aug-2025","RAJU ENTERPRISES","Payment Success","222662"
"15645","Sikkim","Providing drains and gutters for public drainage","WS/MP18282/2025-2026/150017","Pakyong(DISTRICT COLLECTOR PAKYONG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","25-Jul-2025","RAJU ENTERPRISES","Payment Success","312307"
